featCount,iso_major,distgrp,cntmedValu,avgmedValu,count
4,Isolated Black,0 to 3,4,152475.000000000000000,"11"
23,Isolated Black,10 to 15,23,64321.739130434783874,"69"
14,Isolated Black,15 or more,14,96928.571428571434808,"154"
7,Isolated Black,3 to 5,7,55328.571428571427532,"21"
23,Isolated Black,5 to 10,23,67704.347826086959685,"65"
2,Isolated White,0 to 3,2,179600.000000000000000,"11"
34,Isolated White,10 to 15,34,257885.294117647048552,"69"
89,Isolated White,15 or more,89,295425.842696629231796,"154"
19,Isolated White,5 to 10,19,213957.894736842106795,"65"
2,Mixed Black,0 to 3,2,186700.000000000000000,"11"
6,Mixed Black,10 to 15,6,122316.666666666671517,"69"
16,Mixed Black,15 or more,16,108418.750000000014552,"154"
6,Mixed Black,3 to 5,6,184550.000000000000000,"21"
6,Mixed Black,5 to 10,6,108466.666666666671517,"65"
3,Mixed White,0 to 3,3,208166.666666666656965,"11"
6,Mixed White,10 to 15,6,213600.000000000000000,"69"
35,Mixed White,15 or more,35,154714.285714285710128,"154"
8,Mixed White,3 to 5,8,245825.000000000000000,"21"
17,Mixed White,5 to 10,17,210923.529411764669931,"65"
